slug,name,asset_type,regions,regulators,founded_year,min_deposit,fx_fee_pct,withdrawal_fee,inactivity_monthly,platform_fee_pct,monthly_fee,plan_currency,stock_commission_text,withdrawal_text,inactivity_text,verified_at,source_url,review_url
interactive-investor,interactive investor,investing,uk,FCA,1995,0,0.75,0,0,0,5.99,GBP,"£3.99 per UK share trade (£2.99 on Premium); funds £3.99 on Core, £1.49 on Plus, free on Premium",Free to a linked UK bank account (next-day GBP and EUR); £15 for a same-day GBP or EUR withdrawal,None,2026-07-27,https://www.ii.co.uk/our-charges,https://feeswizard.com/review/interactive-investor/
investengine,InvestEngine,investing,uk,FCA,2019,100,0,0,0,0,,GBP,£0 dealing commission on all ETFs (DIY portfolios); no platform fee,Free — no withdrawal fee,None,2026-08-17,https://investengine.com/costs/,https://feeswizard.com/review/investengine/
lightyear,Lightyear,investing,uk|eu,FCA|EFSA,2021,0,0.1,0,0,0,,GBP,"UK personal accounts (GIA and ISA): no execution fee on UK, US and European stocks or ETFs. EU accounts: GBP 1 per order on UK stocks, EUR 1 per order on EUR-denominated stocks, 0.1% on other European stocks, and 0.10% (min $0.10, max $1) on US stocks. ETFs are execution-fee-free on both.","Free by local bank transfer. USD wire payments are charged (up to $8.50 UK, $6.11 EU).",None,2026-08-17,https://lightyear.com/en-gb/pricing,https://feeswizard.com/review/lightyear/
pepperstone,Pepperstone,cfd,uk|eu,FCA|ASIC|CySEC|BaFin,2010,0,,,,,,,"Razor: raw spreads plus a fixed commission on FX and Spot Gold (XAU/USD) only — GBP 2.25 per lot per side on a GBP account, USD 3.50 on a USD account, so GBP 4.50 / USD 7 round turn, charged in full when the position opens on MT4 and MT5; cTrader is USD 6 round turn on FX. Standard: no commission on FX, indices or commodities (the cost sits in the spread), but share CFDs cost from 0.1% per side","Free, except bank wire withdrawals to an international bank account, which are charged GBP 15",None,2026-08-17,https://pepperstone.com/en-gb/trading/costs-and-fees,https://feeswizard.com/review/pepperstone/
plus500,Plus500,cfd,uk|eu,FCA|CySEC|ASIC,2008,100,,,,,,,"No commission, cost is in the spread",Free — Plus500 charges no deposit or withdrawal fees; your own bank or card issuer may charge on international transfers or unsupported-currency conversions,Up to $10/month after 3 months without logging in,2026-08-17,https://www.plus500.com/en-gb/help/feescharges,https://feeswizard.com/review/plus500/
revolut,Revolut,investing,uk|eu,FCA|CySEC,2015,0,0.5,0,0,0,,GBP,"1 commission-free order a month on Standard (3 on Plus, 5 on Premium, 10 on Metal and Ultra); beyond the allowance 0.25% of the order amount, or 0.12% on Ultra, minimum GBP 0.01; the Stocks and Shares ISA shares the same allowance and rates",Free,None,2026-07-31,https://help.revolut.com/help/wealth/stocks/trading-stocks/trading-fees/what-fees-will-i-be-charged-for-my-trading/,https://feeswizard.com/review/revolut/
robinhood,Robinhood,investing,us|uk,SEC|FINRA|SIPC|FCA,2013,0,0.1,0,0,0,,GBP,"$0 / £0 commission on US stocks, ETFs and options (crypto in the US only)",Free (bank/ACH); instant withdrawal 1.75% (US); account transfer out $100,None,2026-08-17,https://cdn.robinhood.com/assets/robinhood/legal/RHUK_Fee_Schedule.pdf,https://feeswizard.com/review/robinhood/
scalable-capital,Scalable Capital,investing,eu,BaFin|Bundesbank,2014,0,0,0,0,0,0,EUR,"Price depends on the venue. European Investor Exchange (EIX) — FREE Broker: €0.99 per trade, or €0 on purchases of €250 or more in PRIME ETFs (Amundi, iShares, Vanguard, Xtrackers); PRIME+ Broker (€4.99/mo): €0 per trade from €250, else €0.99. gettex: €0.99 until 31 August 2026, then €1.99 flat from 1 September 2026 on both plans, with no free-trade threshold. Xetra: €1.99 flat from 1 September 2026, down from €3.99 plus 0.01% (min €1.50), with trading-venue fees waived. EIX is the cheapest route on both plans",Free to a linked bank account,None,2026-08-26,https://de.scalable.capital/en/trading,https://feeswizard.com/review/scalable-capital/
trade-republic,Trade Republic,investing,eu,BaFin|Bundesbank,2015,0,0,0,0,0,,EUR,"€1 flat per trade (Best Price execution); €2 per order for Direct Price routing to a chosen exchange (Xetra, NYSE, etc., since July 2026)",Free to a linked bank account,None,2026-08-17,https://support.traderepublic.com/en-de/784-Are-there-commissions-for-order-execution,https://feeswizard.com/review/trade-republic/
trading212,Trading 212,investing,uk|eu,FCA|CySEC,2004,1,0.15,0,0,0,,GBP,0%,Free,None,2026-08-17,https://helpcentre.trading212.com/hc/en-us/articles/11471996799517-What-are-the-fees-in-the-Invest-ISAs-and-SIPP,https://feeswizard.com/review/trading212/
vanguard-uk,Vanguard UK,investing,uk,FCA,2017,500,0,0,0,0.15,,GBP,No dealing charge on Vanguard funds and ETFs at the scheduled daily trade; £7.50 for optional live 'quote and deal' ETF trades,Free to a linked UK bank account,None,2026-07-27,https://www.vanguardinvestor.co.uk/what-we-offer/fees-explained,https://feeswizard.com/review/vanguard-uk/
webull,Webull,investing,us|uk,SEC|FINRA|SIPC|FCA,2017,0,0.5,0,0,0,,GBP,"$0 on stocks, ETFs and options (regulatory fees on sells). UK: 0% commission on UK, US and Hong Kong / China-A shares and ETFs",Free (ACH); wires $25 to send; account transfer out $75,None,2026-08-26,https://www.webull-uk.com/pricing,https://feeswizard.com/review/webull/
xtb,XTB,investing,uk|eu,FCA|CySEC|KNF,2002,0,0.5,0,10,0,,EUR,"0% up to €100k monthly turnover, then 0.2% (min €10)",Free above €100 (some entities charge €10 below €100),"EUR 10/month, only after 365 days with no trade AND no deposit in the previous 90 days. Not charged on ISA accounts, where open positions are held, or on a zero balance.",2026-08-17,https://www.xtb.com/en/help-center/fees-and-payments-3/fees-and-commissions-at-xtb,https://feeswizard.com/review/xtb/
